Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,33.29,-112.16,26.0,,1.73,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.29,-109.27,32.0,,1.87,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.29,-102.39,49.0,,1.72,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.29,-101.13,49.0,,1.76,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.29,-98.76,47.0,,1.79,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.292,-109.266,30.7,,1.86,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.292099,-109.265701,35.0,,1.7125,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.2945,-5.1071,35.0,,1.71,,,,,,,,,Africa,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,33.296902,-110.472298,31.0,,1.755,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.297,-110.472,29.8,,1.75,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.297001,-80.703903,21.5,,1.865,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.2981,-7.4133,32.0,,1.77,,,,,,,,,Africa,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,33.3,-110.47,31.0,,1.84,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.3,-80.7,37.0,,1.6,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.3,87.76,65.1,,1.74,,,,,,,,,Tibet_plat,Liu2021,Stephenson 2024,Hk,-,,,,,,,
,,33.3,88.39,59.49,,1.74,,,,,,,,,Asia_China,He2014,Stephenson 2024,Hk,-,,,,,,,
,,33.306599,-99.478302,40.25,,1.84,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.308601,-107.671204,38.0,,1.68,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.309,-107.671,36.0,,1.73,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.31,-107.67,38.0,,1.72,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.31,-99.48,45.0,,1.76,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.314999,-103.2145,46.5,,1.7025,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.315,-103.215,44.3,,1.71,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.3167,-85.174698,48.25,,1.7725,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.318298,-100.143501,43.5,,1.7025,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.32,-103.21,49.0,,1.75,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.32,-100.14,44.0,,1.78,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
